model,x_cm,z_cm,combined,n,fallback_pct,period
ewma_w2_h0.5,2.6941946948978415,2.3773936217818608,2.5407366536995473,32713.0,0.0,development_2020_2024
precision_h0.5_q1,2.693258467221937,2.3785062075339614,2.540761003178009,32713.0,0.0,development_2020_2024
precision_h0.5_q2,2.693302605701048,2.3785645000378497,2.540811681994197,32713.0,0.0,development_2020_2024
precision_h1_q2,2.6928069127540413,2.3798018780167753,2.5411282974289318,32713.0,0.0,development_2020_2024
ema_a0.9,2.6940495487839744,2.3784057652129573,2.541133305761562,32713.0,0.0,development_2020_2024
ema_a0.75,2.694510720812724,2.3781119768905215,2.541240307330738,32713.0,0.0,development_2020_2024
precision_h1_q1,2.692719809437229,2.3801803620953432,2.541259385446514,32713.0,0.0,development_2020_2024
ewma_w3_h0.5,2.694505796122888,2.378263770316705,2.541308722542469,32713.0,0.0,development_2020_2024
precision_h0.5_q0.25,2.694690980261496,2.3781939823113363,2.54137424404637,32713.0,0.0,development_2020_2024
ewma_w6_h0.5,2.6942347051260276,2.3787143847342698,2.541375884284659,32713.0,0.0,development_2020_2024
ewma_w6_h0.25,2.695641417621678,2.379201478551629,2.542349536151517,32713.0,0.0,development_2020_2024
ewma_w3_h0.25,2.6956535200217835,2.379196626098992,2.5423536816940575,32713.0,0.0,development_2020_2024
ewma_w2_h0.25,2.695728593777254,2.3791708166846224,2.542381405913761,32713.0,0.0,development_2020_2024
adaptive_q1,2.6935939037285443,2.382623865631521,2.5428669453277015,32713.0,0.0,development_2020_2024
kalman_q1,2.6935939037285443,2.382623865631521,2.5428669453277015,32713.0,0.0,development_2020_2024
monthly_w84_h28_huber,2.6972055418735064,2.378878956438682,2.543028000681466,32713.0,0.0,development_2020_2024
adaptive_q2,2.6959561549282944,2.3810967544359367,2.543403363928056,32713.0,0.0,development_2020_2024
kalman_q2,2.6959561549282944,2.3810967544359367,2.543403363928056,32713.0,0.0,development_2020_2024
ewma_w2_h1,2.700557619407954,2.3776129248107982,2.5442144834869675,32713.0,0.0,development_2020_2024
kalman_q4,2.697942922037464,2.380670941750802,2.5442572731023785,32713.0,0.0,development_2020_2024
weekly_w84_hflat,2.7016388023920137,2.376596488842812,2.5443135704321254,32713.0,0.0,development_2020_2024
monthly_w84_h28,2.700295726134639,2.3788029924196405,2.5446316713156776,32713.0,0.0,development_2020_2024
last_month,2.698877688244469,2.3805204001651616,2.5446825098336245,32713.0,0.0,development_2020_2024
precision_h2_q2,2.6963191330430214,2.383757892672142,2.544841700193806,32713.0,0.0,development_2020_2024
precision_h2_q1,2.6961674022728404,2.3847941956380243,2.545246748021446,32713.0,0.0,development_2020_2024
precision_h1_q0.25,2.6987893447004403,2.3839810960214356,2.5462550729705185,32713.0,0.0,development_2020_2024
adaptive_q0.5,2.696765226027676,2.387180988747869,2.5466817387878837,32713.0,0.0,development_2020_2024
kalman_q0.5,2.698860802661723,2.387413208482663,2.5479002590546362,32713.0,0.0,development_2020_2024
ewma_w3_h1,2.7050678062670603,2.381598235141337,2.548470324540862,32713.0,0.0,development_2020_2024
ewma_w2_h2,2.708095057469398,2.378644271884747,2.548698433755973,32713.0,0.0,development_2020_2024
monthly_w56_hflat,2.710543952145506,2.3765448633089394,2.5490207927587294,32713.0,0.0,development_2020_2024
ewma_w2_h3,2.711380989687547,2.3791647777298914,2.550687349601039,32713.0,0.0,development_2020_2024
ewma_w6_h1,2.70609275828338,2.385717578044831,2.550939667909244,32713.0,0.0,development_2020_2024
precision_h2_q0.25,2.707028233872963,2.3933230200256834,2.554994807937017,32713.0,0.0,development_2020_2024
ewma_w3_h2,2.7185269600804807,2.3861470966849483,2.557741855592783,32713.0,0.0,development_2020_2024
ema_a0.5,2.718674876740166,2.3865533250533435,2.5580099549006183,32713.0,0.0,development_2020_2024
ewma_w3_h3,2.724601868377337,2.3882098355111148,2.561933016259139,32713.0,0.0,development_2020_2024
kalman_q0.25,2.716058064548449,2.398932122352177,2.562405777550834,32713.0,0.0,development_2020_2024
trend_d0.25,2.7236456397341953,2.3905951549195747,2.5625369036921244,32713.0,0.0,development_2020_2024
ewma_w6_h2,2.724169091592522,2.3967677257797058,2.5656960820532944,32713.0,0.0,development_2020_2024
monthly_w84_hflat,2.7314641741214016,2.3907613386919233,2.5667719330993073,32713.0,0.0,development_2020_2024
ewma_w6_h3,2.732888430347978,2.4020647292217725,2.5727994612970813,32713.0,0.0,development_2020_2024
season_to_date,2.7570286737370937,2.415096988215478,2.591707986087166,32713.0,0.0,development_2020_2024
trend_d0.5,2.7664453326531664,2.4071090086645057,2.5930092130719773,32713.0,0.0,development_2020_2024
uncorrected,5.894697060321756,3.8206834179294735,4.9671458209422035,32713.0,0.0,development_2020_2024
weekly_w84_h14,3.125398320353083,3.534038377185788,3.33598125836221,8764.0,0.0,confirmation_2025
weekly_w56_h14,3.1292646987850135,3.540103383278199,3.341005052327803,8764.0,0.0,confirmation_2025
weekly_w28_h14,3.135822674911627,3.5445472947326553,3.3464308877583666,8764.0,0.6732085805568234,confirmation_2025
weekly_w28_h28,3.169604783754842,3.5575752931913156,3.3691791620457683,8764.0,0.6732085805568234,confirmation_2025
weekly_w84_h28,3.177864445385047,3.5635572218255187,3.3762229270641493,8764.0,0.0,confirmation_2025
weekly_w28_h28_huber,3.1875789065114395,3.5569381697424105,3.377311684506418,8764.0,0.6732085805568234,confirmation_2025
weekly_w56_h28,3.17830592444663,3.5692720447981685,3.3794475494635394,8764.0,0.0,confirmation_2025
weekly_w84_h28_huber,3.196684269724352,3.5706578668678355,3.388833716968736,8764.0,0.0,confirmation_2025
monthly_w28_h14,3.195771592555277,3.5749335117621803,3.3906566978465666,8764.0,0.0,confirmation_2025
weekly_w56_h28_huber,3.198008209403925,3.574702163505829,3.391589012925074,8764.0,0.0,confirmation_2025
weekly_w28_hflat,3.2060484606236797,3.5750032171439647,3.395540806297074,8764.0,0.6732085805568234,confirmation_2025
monthly_w84_h14,3.220209888288201,3.5775851992852035,3.4035913079256193,8764.0,0.0,confirmation_2025
monthly_w56_h14,3.2205869318463236,3.580012620342263,3.4050455611775003,8764.0,0.0,confirmation_2025
monthly_w28_h28,3.231928602025181,3.594521765913888,3.4180366597081098,8764.0,0.0,confirmation_2025
monthly_w28_h28_huber,3.263446144388623,3.5935216816020388,3.432453846264281,8764.0,0.0,confirmation_2025
weekly_w56_hflat,3.2454399842235637,3.614242328345319,3.434794629901476,8764.0,0.0,confirmation_2025
monthly_w56_h28,3.2716112480409985,3.6109316553007123,3.4454511734721422,8764.0,0.0,confirmation_2025
monthly_w84_h28,3.2810142913804543,3.607980206809793,3.4483746862089983,8764.0,0.0,confirmation_2025
monthly_w28_hflat,3.2707730328129765,3.61965940588775,3.449629722652002,8764.0,0.0,confirmation_2025
weekly_w84_hflat,3.2748977518848514,3.6240569522351134,3.4538923027755306,8764.0,0.0,confirmation_2025
ema_a0.9,3.28380478209559,3.61697064975801,3.4544066442823977,8764.0,0.0,confirmation_2025
ewma_w6_h0.25,3.285058041030767,3.61952954298759,3.456342029190749,8764.0,0.0,confirmation_2025
ewma_w3_h0.25,3.2850610723615135,3.6195564729165532,3.456357570461793,8764.0,0.0,confirmation_2025
ema_a0.75,3.2876648559036963,3.617663815897047,3.4566046700190536,8764.0,0.0,confirmation_2025
ewma_w2_h0.25,3.285540800991778,3.620327279830995,3.4569891501182197,8764.0,0.0,confirmation_2025
precision_h0.5_q2,3.2876381703302604,3.6191414641426243,3.4573653029792006,8764.0,0.0,confirmation_2025
ewma_w6_h0.5,3.287043442496756,3.621416703774297,3.458273668699198,8764.0,0.0,confirmation_2025
ewma_w3_h0.5,3.2874061672930637,3.6226083263809286,3.459069990266235,8764.0,0.0,confirmation_2025
last_month,3.29020202085189,3.6212025716760894,3.4596630907598054,8764.0,0.0,confirmation_2025
precision_h1_q2,3.293908132055509,3.620306365367808,3.460957162516179,8764.0,0.0,confirmation_2025
ewma_w2_h0.5,3.287490068106507,3.629098848752772,3.4625098846008817,8764.0,0.0,confirmation_2025
precision_h0.5_q1,3.2963011324585896,3.622145063290071,3.463057609639523,8764.0,0.0,confirmation_2025
kalman_q4,3.3017128400738476,3.623049862058054,3.4661071810654813,8764.0,0.0,confirmation_2025
precision_h1_q1,3.3064336529136518,3.6248024718442142,3.4692720029573816,8764.0,0.0,confirmation_2025
precision_h2_q2,3.3061195259625458,3.625807884330462,3.4696476142415205,8764.0,0.0,confirmation_2025
monthly_w56_h28_huber,3.307226933354284,3.6252937245816264,3.469906668643618,8764.0,0.0,confirmation_2025
monthly_w84_h28_huber,3.313503329154311,3.62190247884942,3.4711296344714837,8764.0,0.0,confirmation_2025
adaptive_q2,3.3180617721879035,3.6277069102874973,3.4763336542255545,8764.0,0.0,confirmation_2025
kalman_q2,3.3180617721879035,3.6277069102874973,3.4763336542255545,8764.0,0.0,confirmation_2025
precision_h0.5_q0.25,3.3125981345773776,3.6351694214434405,3.4776258513390252,8764.0,0.0,confirmation_2025
precision_h2_q1,3.319841544501391,3.631410023427075,3.4791153070029175,8764.0,0.0,confirmation_2025
ewma_w6_h1,3.3205855294761717,3.6379730380153372,3.4828965017563394,8764.0,0.0,confirmation_2025
ewma_w2_h1,3.306305984135982,3.651378395766427,3.483118103783104,8764.0,0.0,confirmation_2025
adaptive_q0.5,3.3359245763209278,3.626099632304743,3.4840343943697336,8764.0,0.0,confirmation_2025
