season,month,park,x_cm,z_cm,x_se,z_se,min_raw_cov_eigenvalue,games,pitchers,rows,pitches
2020,5,고척,9.96338183895163,10.44910286495395,0.7713739357818546,0.376293830802812,-8.607349839492335e-18,12,53,186,3092
2020,5,광주,6.160023781129343,1.7525430196325944,0.9568502794107194,0.4300843111387644,-8.607349839492335e-18,12,56,190,3154
2020,5,대구,4.0348784276850385,4.385367120892429,0.8955952548818976,0.4604241784510816,-8.607349839492335e-18,15,51,215,3617
2020,5,대전구,25.855094122167138,2.582302230932853,2.823897139753706,0.46957144926610467,-8.607349839492335e-18,9,45,148,2249
2020,5,문학,-0.8526299999872471,5.091592949949009,0.8483150289714341,0.38699790591855143,-8.607349839492335e-18,12,46,182,3020
2020,5,사직,0.04315143623401241,-0.9274650062914986,0.7533568549223065,0.363648117142931,-8.607349839492335e-18,11,47,177,2703
2020,5,수원,15.537720871766052,6.474379945590875,0.9154073664544639,0.5258376189184478,-8.607349839492335e-18,12,54,173,2983
2020,5,잠실,0.0,0.0,0.19999999999999996,0.2,-8.607349839492335e-18,23,80,361,5842
2020,5,창원,-2.6135999207955294,2.4843342796705867,0.7315370349512136,0.4594628770710239,-8.607349839492335e-18,11,50,166,2734
2020,6,고척,9.49329237988405,11.870062251720368,0.5316060193386419,0.4770538001454241,1.3535382993269393e-19,13,57,190,3233
2020,6,광주,6.687602814683714,2.6185630688099524,0.5208575004727237,0.39349667795667964,1.3535382993269393e-19,8,40,132,2157
2020,6,대구,5.141879752785751,5.192280918396309,0.6905736147867882,0.3819918029393257,1.3535382993269393e-19,10,52,164,2609
2020,6,대전구,17.424239021330735,4.122375317168213,0.6154641271622974,0.34575245660765214,1.3535382993269393e-19,15,62,244,3748
2020,6,문학,-0.10330005653988295,5.725021065123541,0.4977521666049582,0.3164022593944874,1.3535382993269393e-19,15,55,229,3831
2020,6,사직,2.235711552448006,-0.01697909075916293,0.5118763468036202,0.4013169684214837,1.3535382993269393e-19,10,50,163,2458
2020,6,수원,17.96535853553904,7.397158311861791,0.7364314972740915,0.5657070122000085,1.3535382993269393e-19,12,54,180,2751
2020,6,잠실,0.0,0.0,0.19999999999999998,0.19999999999999998,1.3535382993269393e-19,25,91,344,5717
2020,6,창원,-1.6336782680850348,2.7921696845356205,0.6304848992779031,0.44815685163129343,1.3535382993269393e-19,13,60,199,3170
2020,7,고척,10.652875344144961,11.67508837110225,0.5506372157632418,0.510231383166197,-0.0024580029543715995,11,52,170,2797
2020,7,광주,8.151501569082676,1.8670710225400824,0.4056170059467742,0.41013861550262526,-0.0024580029543715995,14,56,199,3379
2020,7,대구,6.301330741654295,5.591486702429689,0.575509892178868,0.47943447870021705,-0.0024580029543715995,14,68,236,3874
2020,7,대전구,17.79405730583194,4.119992406160565,0.5780779621245314,0.4690951776045128,-0.0024580029543715995,11,44,187,3030
