date,repeat,covariance,elapsed_ms,input_cells,input_games,aggregate_pitch_count,output_parks,columns,rank,input_memory_bytes
2025-07-22,2,False,44.595500046852976,5532,299,80545,9,25,25,2089638
2025-07-22,2,True,49.09330001100898,5532,299,80545,9,25,25,2089638
2025-08-01,2,False,59.01260004611686,5611,302,81343,9,27,27,2119344
2025-08-01,2,True,41.42830002820119,5611,302,81343,9,27,27,2119344
2025-08-12,2,False,33.399300009477884,5637,304,81752,9,27,27,2128903
2025-08-12,2,True,41.84070002520457,5637,304,81752,9,27,27,2128903
2025-08-22,2,False,49.71280001336709,5649,304,81563,9,27,27,2133661
2025-08-22,2,True,61.17939995601773,5649,304,81563,9,27,27,2133661
2025-09-02,2,False,45.92070000944659,5727,304,82140,9,27,27,2163183
2025-09-02,2,True,38.40199997648597,5727,304,82140,9,27,27,2163183
2025-09-12,2,False,30.06330004427582,5511,292,78886,9,27,27,2081394
2025-09-12,2,True,35.72539996821433,5511,292,78886,9,27,27,2081394
2025-09-21,2,False,29.80260003823787,5553,292,78986,9,27,27,2097277
2025-09-21,2,True,35.882199998013675,5553,292,78986,9,27,27,2097277
2025-09-30,2,False,34.879199985880405,5387,282,76263,9,27,27,2034598
2025-09-30,2,True,37.915099994279444,5387,282,76263,9,27,27,2034598
2025-05-01,3,False,23.24800001224503,3566,193,51105,9,25,25,1346059
2025-05-01,3,True,26.180699991527945,3566,193,51105,9,25,25,1346059
2025-05-11,3,False,26.42429998377338,4294,232,61648,9,25,25,1620821
2025-05-11,3,True,31.51380002964288,4294,232,61648,9,25,25,1620821
2025-05-23,3,False,32.111399981658906,5092,276,73562,9,25,25,1922473
2025-05-23,3,True,38.69029995985329,5092,276,73562,9,25,25,1922473
2025-06-03,3,False,31.433899945113808,5625,307,82448,9,25,25,2123760
2025-06-03,3,True,37.55999996792525,5625,307,82448,9,25,25,2123760
2025-06-14,3,False,34.5954000367783,5959,326,88074,9,25,25,2250551
2025-06-14,3,True,39.406800002325326,5959,326,88074,9,25,25,2250551
2025-06-25,3,False,35.33610003069043,5968,324,87605,9,25,25,2254112
2025-06-25,3,True,46.348100004252046,5968,324,87605,9,25,25,2254112
2025-07-05,3,False,32.692499982658774,6009,326,87999,9,25,25,2269691
2025-07-05,3,True,36.49460000451654,6009,326,87999,9,25,25,2269691
2025-07-22,3,False,29.970099974889308,5532,299,80545,9,25,25,2089638
2025-07-22,3,True,34.19600002234802,5532,299,80545,9,25,25,2089638
2025-08-01,3,False,30.57999996235594,5611,302,81343,9,27,27,2119344
2025-08-01,3,True,35.44750000583008,5611,302,81343,9,27,27,2119344
2025-08-12,3,False,31.606500037014484,5637,304,81752,9,27,27,2128903
2025-08-12,3,True,35.71760002523661,5637,304,81752,9,27,27,2128903
2025-08-22,3,False,30.579500016756356,5649,304,81563,9,27,27,2133661
2025-08-22,3,True,35.467300040181726,5649,304,81563,9,27,27,2133661
2025-09-02,3,False,33.11700001358986,5727,304,82140,9,27,27,2163183
2025-09-02,3,True,37.36319998279214,5727,304,82140,9,27,27,2163183
2025-09-12,3,False,33.80979999201372,5511,292,78886,9,27,27,2081394
2025-09-12,3,True,34.270300006028265,5511,292,78886,9,27,27,2081394
2025-09-21,3,False,30.65599995898083,5553,292,78986,9,27,27,2097277
2025-09-21,3,True,35.92239995487034,5553,292,78986,9,27,27,2097277
