season,park,ci_df,rows,pitches,games,pitchers,x_cm,x_cm_se,x_cm_low,x_cm_high,z_cm,z_cm_se,z_cm_low,z_cm_high,depth_cm,depth_cm_se,depth_cm_low,depth_cm_high,arrival_ms,arrival_ms_se,arrival_ms_low,arrival_ms_high,x_cm_q,z_cm_q
2020,고척,248,1213,19215,84,175,3.526491981008073,0.2457880206231385,3.042393879635791,4.0105900823803555,7.3369332081180785,0.1599596654733979,7.021880545439499,7.651985870796658,9.244052816667402,0.23070117057423256,8.789669407841354,9.69843622549345,2.9007822601544992,0.07304605544739437,2.7569125277518896,3.044651992557109,3.8116253088522094e-34,2.89254693631415e-122
2020,광주,248,1143,19097,73,173,3.4708700127034575,0.3170839367094118,2.846349210804682,4.095390814602233,-1.7372803143597013,0.12290611771529786,-1.979353211493455,-1.4952074172259477,-0.7067977785624641,0.4314986891072011,-1.556667091199583,0.1430715340746549,-0.22048366660047516,0.13650893953945137,-0.48934835041969527,0.04838101721874491,8.240308702741467e-23,2.0035191900099748e-33
2020,대구,248,1190,18929,74,177,-0.6348064914028451,0.21766270164452461,-1.0635096492643814,-0.20610333354130872,1.2474306604944836,0.15789510571060406,0.9364443044601591,1.558417016528808,-4.685836836313502,0.2404357523262992,-5.159393240356655,-4.212280432270349,-1.5520574887991512,0.08078364224208062,-1.7111669837703938,-1.3929479938279086,0.004293957603289757,1.2209376817543905e-13
2020,대전구,248,1169,17849,73,174,11.617207959899424,0.5000366232263668,10.632348000871367,12.602067918927482,0.17385469965437733,0.132979101085505,-0.08805770028471682,0.4357670995934715,5.035150371246794,0.5991159068204592,3.8551462674730974,6.215154475020491,1.6380012354327327,0.19263406908992053,1.258593862894298,2.0174086079711673,9.561733119449164e-64,0.2006538026015576
2020,문학,248,1150,18400,74,159,-6.4734132216186,0.25529374035372326,-6.976233557142435,-5.970592886094765,1.4036054598462957,0.12095518735472394,1.1653750676526484,1.641835852039943,4.644251802627271,0.28895503378795745,4.075133003085805,5.213370602168737,1.4577350867580232,0.09170443905440767,1.2771162562670237,1.6383539172490227,2.404060568251607e-70,5.958258156745568e-25
2020,사직,248,1128,17535,72,178,-3.998099478843148,0.19553098318967319,-4.3832125428631015,-3.6129864148231947,-4.108914283507666,0.13162148098851256,-4.3681527479568505,-3.8496758190584814,0.2338955796434341,0.25646604429550107,-0.27123369718277657,0.7390248564696448,0.09949677966855297,0.08359103553465959,-0.06514208878190636,0.2641356481190123,9.141163361377333e-55,2.891635030858364e-87
2020,수원,248,1125,17623,73,176,9.953138556378985,0.29001858650068235,9.381925009308187,10.524352103449782,3.1109267641374707,0.18051292963297094,2.7553928927676505,3.466460635507291,-11.563586634101224,0.2901706243669489,-12.13509963125185,-10.992073636950598,-3.7021799018668107,0.09506074521809395,-3.889409231263922,-3.5149505724696994,1.7207036342070925e-95,5.706447136307355e-44
2020,잠실,248,2176,34596,148,207,-5.671897273251574,0.1996604324133534,-6.065143599925373,-5.278650946577774,-3.587438044439896,0.13248408449181348,-3.8483754717479144,-3.3265006171318774,-1.3859367084489342,0.18188748620212294,-1.744177872971888,-1.0276955439259805,-0.36729383853242503,0.0602306620012925,-0.48592268401195315,-0.24866499305289694,2.316049174059928e-79,1.6227574150223713e-75
2020,창원,248,1180,18646,73,184,-6.400609563579689,0.2688245079055411,-6.930079769448458,-5.87113935771092,-1.0193854561895102,0.14460732560103717,-1.3042005240292944,-0.7345703883497258,-0.1675206337008851,0.24197608209284513,-0.6441108337507823,0.30906956634901206,-0.1073865693944153,0.08032396733728288,-0.2655906998645854,0.050817561075754775,1.4909173864479441e-65,2.2914511696478733e-11
2021,고척,268,1148,18103,76,187,3.7131529137046475,0.22935583430677822,3.2615844927848063,4.164721334624488,6.842647795575967,0.14561438435604068,6.555954161617998,7.129341429533937,7.09122564721782,0.2081130485265586,6.681481194978373,7.500970099457268,2.2617110740993924,0.05712333909968639,2.149243492392221,2.374178655806564,2.7924940908621637e-41,2.4770501259693943e-130
