season,model,metric,n,sse,rmse
2022,baseline,arrival_ms,8770,51776.86408633957,2.4297862777085735
2022,baseline,depth_cm,8770,480942.6091562433,7.405371168191521
2022,baseline,x_cm,8770,348923.32596281864,6.307615403813033
2022,baseline,z_cm,8770,133847.74863055532,3.9066611043319086
2022,monthly,arrival_ms,8770,6310.252270873503,0.848249406030822
2022,monthly,depth_cm,8770,60681.2833817783,2.630435045196643
2022,monthly,x_cm,8770,69773.1543639146,2.820618707529038
2022,monthly,z_cm,8770,59755.06792237579,2.610282883143405
2022,pitch_type,arrival_ms,8770,6037.892794481755,0.8297416719944912
2022,pitch_type,depth_cm,8770,55455.333791878125,2.51461710367469
2022,pitch_type,x_cm,8770,63055.09502883581,2.6813919152298413
2022,pitch_type,z_cm,8770,55925.18479568684,2.5252473104596462
2023,annual,arrival_ms,8836,14473.141583772252,1.279833729712517
2023,annual,depth_cm,8836,136957.22444646887,3.936992789932978
2023,annual,x_cm,8836,76564.81691531448,2.9436540631452495
2023,annual,z_cm,8836,52546.34865945556,2.4386159947002555
2023,baseline,arrival_ms,8836,48096.386145901226,2.333073222996629
2023,baseline,depth_cm,8836,452970.0483686598,7.159898892215405
2023,baseline,x_cm,8836,422215.57325393904,6.912565674049435
2023,baseline,z_cm,8836,140836.53700579554,3.992361099485702
2023,monthly,arrival_ms,8836,7722.936126403345,0.9348961426090573
2023,monthly,depth_cm,8836,74698.2540057775,2.9075512045347662
2023,monthly,x_cm,8836,75199.50883087752,2.9172903027641595
2023,monthly,z_cm,8836,52775.45985315135,2.4439266065423513
2023,pitch_type,arrival_ms,8836,14366.739087285861,1.2751205611116185
2023,pitch_type,depth_cm,8836,135340.1319335554,3.913681182710776
2023,pitch_type,x_cm,8836,70913.18418505805,2.8329286711300212
2023,pitch_type,z_cm,8836,51333.62452482601,2.410311157987475
2024,annual,arrival_ms,10195,14116.838995213386,1.1767253668699222
2024,annual,depth_cm,10195,138463.67996023438,3.685312496410255
2024,annual,x_cm,10195,120844.68825346723,3.4428663801505697
2024,annual,z_cm,10195,109038.72605256175,3.2703690896587743
2024,baseline,arrival_ms,10195,58154.53239643493,2.3883510904972995
2024,baseline,depth_cm,10195,558217.6106786656,7.399598432158406
2024,baseline,x_cm,10195,517089.0046075133,7.121787916648582
2024,baseline,z_cm,10195,257563.82981776295,5.026304810771624
2024,monthly,arrival_ms,10195,10533.475625736244,1.016464539206398
2024,monthly,depth_cm,10195,105087.69973885306,3.210571364782637
2024,monthly,x_cm,10195,112119.47131593234,3.316247270691089
2024,monthly,z_cm,10195,101229.85912072539,3.1510892286941496
2024,pitch_type,arrival_ms,10195,14020.087121519184,1.172686001961977
2024,pitch_type,depth_cm,10195,134760.7859663998,3.635700940766649
2024,pitch_type,x_cm,10195,114595.67573583714,3.3526676185471835
2024,pitch_type,z_cm,10195,107251.73237609406,3.243459973835485
2025,annual,arrival_ms,9829,33242.08073757102,1.8390326191831614
2025,annual,depth_cm,9829,335560.88772596203,5.842934257129099
2025,annual,x_cm,9829,164740.64218742203,4.093979934598596
2025,annual,z_cm,9829,181774.75401045452,4.300432301348018
2025,baseline,arrival_ms,9829,53084.9769836913,2.3239733802744307
2025,baseline,depth_cm,9829,523544.326856712,7.298305884370747
2025,baseline,x_cm,9829,606408.8992050531,7.8546731079806
2025,baseline,z_cm,9829,416178.9489875669,6.507068626410626
2025,monthly,arrival_ms,9829,25134.152738127832,1.5991067534742012
2025,monthly,depth_cm,9829,262417.05568891607,5.167034504249631
2025,monthly,x_cm,9829,138097.61849804045,3.748335249540583
2025,monthly,z_cm,9829,168037.61502784124,4.134743631292577
2025,pitch_type,arrival_ms,9829,33569.36431120412,1.8480635062920991
2025,pitch_type,depth_cm,9829,336991.2433533355,5.855374006557792
2025,pitch_type,x_cm,9829,160038.1476474615,4.035125907247463
2025,pitch_type,z_cm,9829,176513.04139820702,4.237734377495556
