season,park,ci_df,rows,pitches,games,pitchers,x_cm,x_cm_se,x_cm_low,x_cm_high,z_cm,z_cm_se,z_cm_low,z_cm_high,depth_cm,depth_cm_se,depth_cm_low,depth_cm_high,arrival_ms,arrival_ms_se,arrival_ms_low,arrival_ms_high,variant
2020,고척,256,1458,22467,84,182,3.56035744366707,0.20493961480647924,3.156775211272576,3.963939676061564,7.390323549761316,0.1344816505542057,7.1254923466871185,7.6551547528355135,9.29317144471025,0.20014668731621157,8.899027799277354,9.687315090143146,2.9212895153781107,0.05980408504437408,2.8035188922054766,3.0390601385507447,season_fe
2020,광주,256,1254,20739,73,178,3.350016552437915,0.3228105810805217,2.7143141038114633,3.985719001064367,-1.698038301996376,0.14036433938510107,-1.974454130586225,-1.421622473406527,-0.702943781348744,0.5306222613984245,-1.7478843459907167,0.3419967832932287,-0.2187246620551493,0.16778877793314584,-0.5491467214161299,0.11169739730583128,season_fe
2020,대구,256,1351,20885,75,184,-0.8007904839892839,0.2283772409773962,-1.2505278216376752,-0.35105314634089246,1.2812323323289063,0.1489439118233496,0.9879209757520049,1.5745436889058078,-5.030288266646551,0.23488360319868312,-5.492838413533964,-4.567738119759137,-1.670871084808092,0.07685548336630507,-1.8222205814782237,-1.5195215881379605,season_fe
2020,대전구,256,1336,20124,73,178,11.399746116836404,0.4808039940928816,10.452911365227125,12.346580868445683,0.21460941113705984,0.15106565465565996,-0.08288023820007456,0.5120990604741942,5.039819095769662,0.6023012250650998,3.8537230195413272,6.225915171997997,1.6591263716957885,0.19588448860681637,1.2733761628938278,2.044876580497749,season_fe
2020,문학,256,1305,20174,74,169,-6.157658009716218,0.2261392210613128,-6.602988073179336,-5.712327946253099,1.467296073132729,0.10384008562038953,1.2628065038208847,1.6717856424445732,4.296841508938218,0.22368680871378627,3.8563409170777527,4.737342100798684,1.3610716110215924,0.07083520359123968,1.2215776941209193,1.5005655279222654,season_fe
2020,사직,256,1299,19786,73,187,-3.9183423181195094,0.2041027812776092,-4.320276596095611,-3.516408040143408,-4.175234787644764,0.13434884694531105,-4.439804464039513,-3.910665111250015,0.4005763055472997,0.23221859386061838,-0.05672570803497473,0.8578783191295742,0.14846334657484395,0.07630374807132352,-0.0017996321848790242,0.2987263253345669,season_fe
2020,수원,256,1277,19897,73,186,10.016687675793039,0.2390545534211685,9.54592378553743,10.487451566048646,3.122149548113844,0.1628989931798614,2.801356814193543,3.442942282034145,-12.169957721047131,0.27206646831514486,-12.705731113350982,-11.634184328743281,-3.9238273191848925,0.08347459695246327,-4.088211663412911,-3.7594429749568743,season_fe
2020,잠실,256,2518,40058,149,211,-5.72814869537316,0.17577131811311622,-6.074290562683684,-5.382006828062636,-3.710066387127732,0.12652137854536344,-3.9592216343803597,-3.4609111398751042,-0.8853658245639948,0.16597472614999054,-1.2122155191139243,-0.5585161300140653,-0.22089519185249795,0.051738306092718865,-0.322782087135903,-0.11900829656909288,season_fe
2020,창원,256,1320,20087,73,189,-6.483868472974865,0.245126006054314,-6.966588716373208,-6.001148229576522,-1.1148367397866732,0.15931806081423844,-1.42857763709873,-0.8010958424746164,-0.3770464085273175,0.27161057781038317,-0.9119220275635997,0.1578292105089647,-0.15250360753012426,0.08945209945654849,-0.328659291364789,0.023652076304540443,season_fe
2020,고척,249,1189,18710,84,174,3.3811478319140083,0.25863040216695,2.8717657197535496,3.890529944074467,7.379362831560957,0.16916599185881434,7.046184173844075,7.7125414892778394,9.510444540365357,0.25340372095656544,9.011356569544153,10.009532511186562,2.992400982957309,0.08425337182113632,2.82646086093257,3.1583411049820476,28day_fe
