park,x_cm,z_cm,season,month
고척,9.963381838951626,10.449102864953943,2020,5
광주,6.160023781129347,1.75254301963258,2020,5
대구,4.03487842768503,4.385367120892413,2020,5
대전구,25.855094122167138,2.5823022309328536,2020,5
문학,-0.8526299999872577,5.091592949949002,2020,5
사직,0.0431514362339982,-0.9274650062915177,2020,5
수원,15.537720871766032,6.474379945590862,2020,5
잠실,0.0,0.0,2020,5
창원,-2.613599920795572,2.4843342796705734,2020,5
고척,9.493292379884021,11.870062251720366,2020,6
광주,6.687602814683701,2.618563068809948,2020,6
대구,5.141879752785748,5.1922809183963174,2020,6
대전구,17.424239021330695,4.12237531716819,2020,6
문학,-0.10330005653992202,5.725021065123531,2020,6
사직,2.235711552447995,-0.01697909075917181,2020,6
수원,17.965358535539004,7.39715831186178,2020,6
잠실,0.0,0.0,2020,6
창원,-1.6336782680850668,2.7921696845356134,2020,6
고척,10.652875344144938,11.675088371102246,2020,7
광주,8.151501569082665,1.8670710225400895,2020,7
대구,6.301330741654283,5.591486702429694,2020,7
대전구,17.794057305831934,4.119992406160578,2020,7
문학,0.46369328057921066,5.048135843183328,2020,7
사직,3.1360372265714522,-0.22747514114512413,2020,7
수원,17.298116871248173,7.2445996374147725,2020,7
잠실,0.0,0.0,2020,7
창원,-0.03076891213410704,2.67031256317071,2020,7
고척,9.987276689639526,12.853630011968756,2020,8
광주,13.683105538265202,2.000184079580121,2020,8
대구,5.6185695339110415,5.3826816802704105,2020,8
대전구,16.90749049157272,4.152620992277876,2020,8
문학,-0.014564301317698813,6.0296890158335,2020,8
사직,1.8593426989203463,-0.9687508725263712,2020,8
수원,17.292872479314774,7.1919937511012915,2020,8
잠실,0.0,0.0,2020,8
창원,1.2721562805417213,2.8768499937847043,2020,8
고척,9.389589660124221,10.431628596268656,2020,9
광주,12.798181901735504,1.3365440845859304,2020,9
대구,5.546462269952894,4.77995692028846,2020,9
대전구,17.025088903859647,3.9612001641329178,2020,9
문학,-1.2516326359575594,4.174646730030916,2020,9
사직,1.6479226519178134,-1.121978706095327,2020,9
수원,15.252300038348547,6.083523718285409,2020,9
잠실,0.0,0.0,2020,9
창원,0.654863882771135,2.058143818626853,2020,9
고척,8.509406687699183,10.60537527287876,2020,10
