season,ff_pitches,T,kx,kz
2020,101361,0.39144234079518286,-5.155541753934786,-16.0086736977572
2021,99386,0.3922322158121822,-4.352740280373526,-15.75995351317781
2022,93617,0.38909384280478,-3.8450637351708203,-15.240688043147113
2023,94998,0.39114555846843424,-3.5311474356073784,-15.642144279672236
2024,101748,0.395224811395837,-3.72104222026124,-15.905576935550679
2025,100293,0.39245005093886653,-3.6889203954107335,-15.697700553135746
