season,park,ci_df,rows,pitches,games,pitchers,x_cm,x_cm_se,x_cm_low,x_cm_high,z_cm,z_cm_se,z_cm_low,z_cm_high,depth_cm,depth_cm_se,depth_cm_low,depth_cm_high,arrival_ms,arrival_ms_se,arrival_ms_low,arrival_ms_high,month
2020,고척,116,189,3124,12,53,4.2934819874604795,0.45733372087113544,3.3876749281017418,5.199289046819217,6.79755505174413,0.2664607370119184,6.269795987383912,7.325314116104348,9.667870758089695,0.4654452148737418,8.745997862790604,10.589743653388785,3.069183340702482,0.1472429317764209,2.777550161347793,3.360816520057171,5
2020,광주,116,190,3160,12,56,0.7127490419037503,0.5649093472038206,-0.40612510020032655,1.8316231840078272,-1.5316646913511343,0.2936457515324316,-2.1132671023479093,-0.9500622803543592,-3.679117474660753,0.4459034584829053,-4.562285459118432,-2.795949490203074,-1.1518248191718756,0.1473194426075206,-1.4436095378681104,-0.8600401004756408,5
2020,대구,116,216,3630,15,51,-1.3508043639391127,0.5678239354788923,-2.4754512153672588,-0.2261575125109665,0.9838853528549469,0.28512104429417773,0.41916719867760877,1.548603507032285,-2.803057457942213,0.3109985972444034,-3.4190293663727798,-2.187085549511646,-0.9107187430824943,0.09925992995423123,-1.1073155413521125,-0.7141219448128762,5
2020,대전구,116,149,2263,9,45,19.59680179007872,2.2629261718235227,15.114791372519848,24.078812207637597,-0.7754157444855618,0.29966223124874625,-1.3689345516517373,-0.1818969373193864,-6.519304902070008,1.8804163103015945,-10.243706341701525,-2.7949034624384907,-2.1291290451960885,0.6002442026763938,-3.317988320842278,-0.9402697695498994,5
2020,문학,116,182,3035,12,46,-6.007656509322806,0.5407850751744049,-7.078749490955026,-4.936563527690586,1.67417822873726,0.23148223612977475,1.2156984927512533,2.1326579647232666,7.140581634925531,0.5436008411093546,6.063911674065712,8.217251595785351,2.25446153881021,0.1892516245101715,1.8796248502977404,2.6292982273226793,5
2020,사직,116,178,2714,11,47,-5.176593865863018,0.4858992796698357,-6.138978613753236,-4.214209117972801,-4.098831010187843,0.2457023753539421,-4.585475523679824,-3.612186496695862,2.613939145460506,0.4752546169893716,1.6726374932626213,3.555240797658391,0.9043211963509865,0.15855880091598304,0.5902755123380565,1.2183668803639165,5
2020,수원,116,173,2984,12,54,9.674986188317323,0.5324193917287304,8.620462496845947,10.729509879788699,2.985324984273852,0.30978016699295663,2.371766330481483,3.598883638066221,-9.448094462663736,0.5523907699237051,-10.542173985093022,-8.35401494023445,-3.1127719267930374,0.18633972867837093,-3.4818412387045905,-2.7437026148814843,5
2020,잠실,116,361,5860,23,80,-5.206613240646717,0.6085968390214481,-6.412015965027005,-4.001210516266428,-3.213541760725927,0.25395680306374013,-3.716535208375353,-2.710548313076501,0.696979197231961,0.47690038251580497,-0.24758210096152833,1.6415404954254504,0.3116100075237683,0.15372602827922388,0.007136238659176175,0.6160837763883604,5
2020,창원,116,167,2748,11,50,-7.70966493780704,0.5056791683637849,-8.71122624757024,-6.70810362804384,-0.8173210174158387,0.27323420779496943,-1.358495794135865,-0.2761462406958123,0.6167351584428429,0.46624263867648047,-0.30671713517493215,1.5401874520606178,0.12431733157654717,0.1658855272460628,-0.2042398571186405,0.45287452027173486,5
2020,고척,114,171,2807,11,52,3.7214286963180285,0.3913396664436421,2.946187831200733,4.496669561435325,7.320889836163509,0.3348847920341604,6.657485642434591,7.984294029892427,9.93168126889528,0.32810745549301046,9.281702926655171,10.58165961113539,3.0852736672079724,0.08563767101290168,2.9156261005148236,3.254921233901121,7
2020,광주,114,199,3386,14,56,1.3021230109471025,0.14810904727174518,1.008720129041233,1.5955258928529719,-2.062995988907776,0.23916926449409937,-2.5367884597831374,-1.5892035180324147,-5.1579730694872525,0.26761374744740574,-5.68811384201302,-4.627832296961485,-1.6328526953128106,0.0797328332267557,-1.7908028238308071,-1.4749025667948141,7
2020,대구,114,236,3890,14,68,-0.5223357487073363,0.3543247149362116,-1.2242502799784625,0.17957878256378978,1.523287014523996,0.2619462532975242,1.0043735042579678,2.042200524790024,-3.683686665018489,0.2624091243075022,-4.20351711919024,-3.163856210846738,-1.1710345669428515,0.09076618422917647,-1.3508416788175077,-0.9912274550681952,7
2020,대전구,114,187,3040,11,44,10.551598933012414,0.3667814999980235,9.825007606476298,11.27819025954853,0.12158748785009399,0.29489015574999056,-0.46258763943953807,0.705762615139726,6.985866393314324,0.3813168578919439,6.230480634742029,7.741252151886619,2.2742688192367373,0.127617775204597,2.0214589894716166,2.527078649001858,7
2020,문학,114,169,2696,10,56,-6.029986329135836,0.37366599935906025,-6.770215795881586,-5.289756862390086,1.021468835071362,0.22894541993991227,0.5679297215135477,1.4750079486291765,5.025369345715282,0.22693889374959147,4.575805145086179,5.474933546344384,1.6046856184101486,0.07807225912140435,1.4500250744050711,1.759346162415226,7
2020,사직,114,146,2380,9,46,-3.487106396503597,0.3486057987303089,-4.177691798818061,-2.7965209941891334,-4.04259087328186,0.3074488760875724,-4.651644728832674,-3.4335370177310454,1.111245297831962,0.3397241625239989,0.43825434843562205,1.784236247228302,0.33971723043752783,0.10125183636663336,0.1391381224393154,0.5402963384357402,7
2020,수원,114,181,2749,13,58,10.022725064721431,0.45199045504484925,9.127335454518983,10.91811467492388,3.1219345474271654,0.3534666361972035,2.421719863529071,3.82214923132526,-11.915801639692344,0.29515427153116214,-12.50049997831025,-11.331103301074437,-3.7235570925677064,0.1094461756795119,-3.940369123631732,-3.506745061503681,7
2020,잠실,114,297,4734,23,80,-6.438356119278184,0.28772526438526447,-7.008337651958461,-5.868374586597908,-3.8449437206605515,0.2836710380087152,-4.406893862114632,-3.28299357920647,-0.037478456010299754,0.2641202687386868,-0.5606986741209518,0.48574176210035225,0.01981715598882061,0.09119958726781052,-0.16084852396728905,0.20048283594493027,7
2020,창원,114,153,2661,10,50,-6.545340295657768,0.43446215700055435,-7.406006482437844,-5.684674108877692,-1.2673408490957025,0.3494477307057354,-1.9595941121689058,-0.5750875860224993,-0.21797183911322715,0.3260287016806553,-0.8638321860616736,0.42788850783521926,-0.1813198448903119,0.09315316880897623,-0.36585555483293863,0.0032158650523148313,7
2020,고척,118,251,3981,15,60,3.7329716858555715,0.39066292250530726,2.959352741598433,4.50659063011271,8.435422184838364,0.27639807831418395,7.888078740600408,8.98276562907632,9.803619913659396,0.2565262760311218,9.295628048025627,10.311611779293166,3.0134033310168307,0.08909398116305162,2.8369729925423903,3.189833669491271,8
2020,광주,118,176,3221,12,49,7.301895623896674,0.40483700906165243,6.500208129373212,8.103583118420136,-1.9713011180115678,0.3311273069503996,-2.627023334941938,-1.3155789010811976,2.3720638325365737,0.16889258109526553,2.037610541085534,2.7065171239876133,0.7411970059180779,0.06312947734790995,0.616183453814905,0.8662105580212508,8
2020,대구,118,191,2884,11,54,-0.45072312829307926,0.30820773466471874,-1.0610583522609098,0.15961209567475132,1.2803338167226568,0.202112416258773,0.8800962075719008,1.6805714258734128,-6.1513144321350115,0.2639043562932794,-6.67391690536484,-5.628711958905183,-2.0038947372613616,0.06985068767971593,-2.142218115666137,-1.8655713588565865,8
2020,대전구,118,132,2027,9,44,10.362211109103075,0.4620864974523008,9.447154041434537,11.277268176771614,0.10242532478565636,0.2984198728078741,-0.48852726796734736,0.6933779175386601,6.051654100368923,0.3716261336453464,5.315733180806434,6.787575019931412,1.9585905517954216,0.11887844325586046,1.7231788695790693,2.194002234011774,8
2020,문학,118,182,2934,12,51,-5.823454004760185,0.5040038756295597,-6.82151889319543,-4.82538911632494,1.8951121648852103,0.1989762218428203,1.5010850745046902,2.2891392552657304,3.308554263815301,0.35030254254799503,2.6148598599577415,4.002248667672861,1.0268165254640185,0.11142979174093261,0.8061552011371828,1.247477849790854,8
2020,사직,118,219,3226,15,64,-4.048325320250521,0.4159219237950475,-4.871963963806083,-3.2246866766949602,-4.808089890342238,0.26333629386512575,-5.329567445309739,-4.286612335374737,-0.3702749996764343,0.2610982032182297,-0.8873205258445301,0.14677052649166156,-0.07174641220145028,0.08666632071999435,-0.24336932206984646,0.0998764976669459,8
