season,park,ci_df,rows,pitches,games,pitchers,x_cm,x_cm_se,x_cm_low,x_cm_high,z_cm,z_cm_se,z_cm_low,z_cm_high,depth_cm,depth_cm_se,depth_cm_low,depth_cm_high,arrival_ms,arrival_ms_se,arrival_ms_low,arrival_ms_high,pitch_type
2020,고척,174,223,2871,78,93,3.2029626760702246,0.4472966469196696,2.3201371130132777,4.085788239127171,6.84607515302458,0.29708890915829783,6.259713316172378,7.4324369898767815,8.336054537624452,0.3255842958754952,7.693451599935979,8.978657475312925,2.9075881742385206,0.10511345769219664,2.7001266425882697,3.1150497058887714,슬라이더
2020,광주,174,264,3373,72,97,3.1607043609216245,0.37589040338424395,2.418812689475685,3.902596032367564,-1.3419058018288088,0.25752863274719673,-1.8501878597740364,-0.8336237438835811,-0.2229883628957219,0.523838313011805,-1.2568835571033838,0.8109068313119401,-0.055385492485781763,0.17440373315927152,-0.39960464768373843,0.28883366271217487,슬라이더
2020,대구,174,253,3297,72,95,-0.3473646907208839,0.3846124969607494,-1.1064710835955238,0.411741702153756,1.6101386638892305,0.29079340136632076,1.0362022168749712,2.18407511090349,-4.29723121478042,0.2826775731802688,-4.855149521177338,-3.7393129083835026,-1.5497031179346872,0.10894234626679088,-1.7647216941883943,-1.33468454168098,슬라이더
2020,대전구,174,211,2658,71,99,11.283847890133528,0.7584950574434146,9.786812688160168,12.780883092106887,1.0116190415391395,0.2484122184973023,0.5213299723601986,1.5019081107180803,4.760734354555734,0.7725552665833669,3.2359486381616716,6.285520070949797,1.7453257359682623,0.2739364173004208,1.2046597741049743,2.2859916978315504,슬라이더
2020,문학,174,196,2913,71,84,-5.738701921004497,0.39594856808815543,-6.520182220423765,-4.95722162158523,1.5204731450245357,0.2524020543160649,1.022309371044071,2.0186369190050004,4.84224762328217,0.4009501055392942,4.050895832209971,5.63359941435437,1.6696741175997272,0.13412250269507586,1.404957682151795,1.9343905530476593,슬라이더
2020,사직,174,239,3520,72,112,-3.6040004494948468,0.35137706123406415,-4.2975103473791645,-2.9104905516105286,-3.5768272093879707,0.21262806137194437,-3.996489393969706,-3.1571650248062353,0.7505002377005078,0.3152926876048415,0.12820975915714627,1.3727907162438693,0.2804496536882157,0.10966936433461565,0.06399616809749481,0.49690313927893665,슬라이더
2020,수원,174,211,2916,70,94,8.949520897843607,0.43985495998180335,8.081382928593271,9.817658867093943,3.7879855910539377,0.29542780191643675,3.2049022673455134,4.371068914762362,-10.737741692419128,0.31971115638349357,-11.368752864967744,-10.106730519870512,-3.8325754141610977,0.1257741089450987,-4.080814696328987,-3.5843361319932088,슬라이더
2020,잠실,174,466,5688,143,124,-4.903251900644513,0.40631468684085187,-5.705191719909472,-4.101312081379554,-4.182154661855201,0.2717994787091857,-4.718602966313684,-3.6457063573967177,-0.9345753030536446,0.24684506370405812,-1.4217712922323866,-0.44737931387490243,-0.2856076550101581,0.08896155932696019,-0.4611903231211315,-0.11002498689918472,슬라이더
2020,창원,174,238,2934,72,97,-5.967332586295992,0.430852069416549,-6.817701627504625,-5.116963545087359,-0.7575735662271783,0.241361648805519,-1.233946986360043,-0.28120014609431376,-0.609012438041606,0.29069361649019365,-1.1827519405000362,-0.03527293558317579,-0.2526217602645581,0.103749518249893,-0.4573912963131884,-0.0478522242159278,슬라이더
2020,고척,231,517,9120,84,157,4.048917586298732,0.2138212195019259,3.62762849004251,4.470206682554953,8.110832668480485,0.1752555458463731,7.765529004534054,8.456136332426917,10.174278745320489,0.2606511828159001,9.660721197092043,10.687836293548935,2.804021702806399,0.08214804504551182,2.6421665055670656,2.9658769000457323,직구
2020,광주,231,450,9123,73,156,4.153915898381992,0.33713892006500945,3.4896555818528983,4.8181762149110865,-1.9007541775897774,0.14233246578829903,-2.181189936115287,-1.6203184190642679,-0.44841290245974524,0.48086315160847015,-1.3958511550145907,0.49902535009510013,-0.10398619829754237,0.13399311457029164,-0.3679910443711381,0.1600186477760534,직구
2020,대구,231,531,9512,73,158,-0.19870385610915278,0.23934546944669938,-0.6702830415197607,0.2728753293014551,1.3592432174158517,0.19993963841608134,0.9653048151828223,1.7531816196488812,-5.184679804310066,0.2851265822988574,-5.746460905620401,-4.622898702999731,-1.4803757325424904,0.08326780580335952,-1.6444371794645996,-1.3163142856203813,직구
2020,대전구,231,523,8563,73,155,12.81424380699681,0.4650854721226225,11.89789210584737,13.73059550814625,-0.21385317330106773,0.155348317535088,-0.519933890882478,0.09222754428034252,5.88599535689746,0.5869935473311374,4.72944980150584,7.0425409122890805,1.6512037284301302,0.16437787839722712,1.3273321875428652,1.9750752693173952,직구
2020,문학,231,547,9392,74,146,-7.260568383075493,0.24630109910327652,-7.745852152805367,-6.77528461334562,1.4637610208551926,0.12753249572680148,1.2124854458996364,1.7150365958107487,4.819407169519302,0.2980988627324296,4.2320669571302245,5.406747381908379,1.3357800223397172,0.0826243074939426,1.1729864515519233,1.498573593127511,직구
