season,park,n,x_cm,z_cm
2020,고척,24907,9.214654686633207,-7.831551473431728
2020,광주,22573,7.376656950958842,-17.007579760106356
2020,대구,23183,6.6930031493650874,-14.031948581899352
2020,대전구,22340,17.979865056849285,-15.724191541496566
2020,문학,22436,-0.8957969198986845,-13.225532991888103
2020,사직,21702,-0.4358595637281771,-19.916949386588517
2020,수원,21885,15.108191921917161,-12.257044648923785
2020,잠실,44492,-0.842584958036625,-17.52422335987195
2020,창원,22964,-1.8691818374146871,-17.037353716099616
2021,고척,22819,8.871635360061148,-10.174482845304782
2021,광주,22061,8.511783206174965,-15.914351038236896
2021,대구,22400,6.521613676678419,-14.29802736859935
2021,대전구,22384,17.948818326834928,-14.916473320178078
2021,문학,22184,-2.3215686087592964,-15.157216310351323
2021,사직,21927,-4.290670282457455,-19.124304959426485
2021,수원,21690,11.352943781471405,-15.25767425815447
2021,잠실,44935,-0.32961409548538406,-17.209684136770797
2021,창원,22168,-4.537670999038142,-17.411076265432573
2022,고척,23556,8.962390788792824,-9.885679976694195
2022,광주,22096,6.638868353954838,-16.29552658235898
2022,대구,21166,0.6474604729848453,-14.956424096075567
2022,대전구,22656,11.55431321279216,-17.3656563477474
2022,문학,22430,-4.268689598219693,-15.616379550107357
2022,사직,20578,0.7035840900817226,-19.219195656742304
2022,수원,22637,11.082762515738052,-16.870305150575177
2022,잠실,43537,-2.625611447524918,-19.20479406974234
2022,창원,22337,4.8000271202640175,-17.334105441269735
2023,고척,22909,6.889932898321359,-10.143852367116072
2023,광주,21103,7.952117009870463,-15.969317257882889
2023,대구,19600,0.014088295279757239,-15.759752201811176
2023,대전구,22587,14.378635516053697,-16.824673587385426
2023,문학,22585,-1.128130301671891,-15.834445081118169
2023,사직,22678,-3.4666534261710127,-21.247144955890636
2023,수원,24376,8.04671517017024,-14.343632987193944
2023,잠실,44437,-2.7856766909976125,-19.033181897259663
2023,창원,22941,3.4873396788293256,-18.046111123973258
2024,고척,21622,10.185995840416734,-7.581219859108341
2024,광주,24203,6.271213482953579,-18.638957238386038
2024,대구,24472,1.0920735493117406,-18.17116478010911
2024,대전구,22648,9.649655150434866,-16.368357824685614
2024,문학,23647,-5.48361811070971,-15.035890437491156
2024,사직,22256,-1.1271735250574793,-21.11400407320622
2024,수원,23834,13.514000468521404,-12.698874707113903
2024,울산,1145,12.65296688696559,-20.943408777903933
2024,잠실,47218,0.9553547415842009,-20.351646936965988
2024,창원,24382,3.754338978778787,-18.011915464854923
2024,청주,894,30.7645213701109,-12.819699117795697
2024,포항,583,-4.676721064477841,-15.529538425362286
2025,고척,21966,8.114213550093435,-9.013152586830714
2025,광주,21744,5.270535806367559,-17.998858931002676
2025,대구,23858,-1.4150787437948273,-20.72530889584481
2025,대전신,23633,4.978376310492091,-21.92421726861483
2025,문학,24230,-7.362105384084292,-13.847366358744218
2025,사직,24389,3.164518185216005,-27.105141210298093
2025,수원,23090,18.389531184830545,-13.190653937642939
2025,울산,2273,-1.382244403967564,-13.400911436222884
2025,잠실,44191,1.3389661208829462,-19.988533980034564
2025,창원,20936,0.13158293316364134,-17.831319858509968
2025,청주,579,25.471282690923193,-13.064767173753017
2025,포항,878,-9.92758428995832,-12.818994498477652
